wellID, constituentID, mdl, pql, observed, sampleDate
34,0,NULL,NULL,<0.003,2016-08-31
34,0,NULL,NULL,<0.003,2016-10-19
34,0,NULL,NULL,0.00107(J),2017-01-31
34,0,NULL,NULL,n/a,2017-03-22
34,0,NULL,NULL,<0.003,2017-05-03
34,0,NULL,NULL,<0.003,2017-06-07
34,0,NULL,NULL,n/a,2017-09-14
34,0,NULL,NULL,<0.003*,2018-01-24
34,0,NULL,NULL,<0.003*,2018-05-02
34,0,NULL,NULL,<0.003*,2018-11-28
34,0,NULL,NULL,<0.003*,2019-05-29
34,0,NULL,NULL,<0.003*,2019-09-30
34,0,NULL,NULL,<0.003*,2020-03-30
34,0,NULL,NULL,<0.003*,2020-09-02
34,0,NULL,NULL,<0.001015*,2021-05-18
34,0,NULL,NULL,<0.00102*,2021-10-27
34,0,NULL,NULL,<0.00102*,2022-05-24
35,0,NULL,NULL,0.000861(J),2019-01-09
35,0,NULL,NULL,<0.003*,2019-10-01
35,0,NULL,NULL,n/a,2019-12-02
35,0,NULL,NULL,<0.003*,2020-03-30
35,0,NULL,NULL,<0.003*,2020-09-02
35,0,NULL,NULL,<0.001015*,2021-05-18
35,0,NULL,NULL,<0.00102*,2021-10-27
35,0,NULL,NULL,<0.00102*,2022-05-24
36,0,NULL,NULL,<0.003,2016-03-01
36,0,NULL,NULL,<0.003,2016-04-20
36,0,NULL,NULL,<0.003,2016-06-07
36,0,NULL,NULL,<0.003,2016-08-30
36,0,NULL,NULL,<0.003,2016-10-18
36,0,NULL,NULL,0.00074(J),2017-01-31
36,0,NULL,NULL,n/a,2017-03-22
36,0,NULL,NULL,<0.003,2017-05-03
36,0,NULL,NULL,<0.003,2017-06-07
36,0,NULL,NULL,n/a,2017-09-14
36,0,NULL,NULL,<0.003*,2018-01-24
36,0,NULL,NULL,<0.003*,2018-05-02
36,0,NULL,NULL,n/a,2018-08-29
36,0,NULL,NULL,<0.003*,2018-11-27
36,0,NULL,NULL,<0.003*,2019-05-29
36,0,NULL,NULL,<0.003*,2019-09-30
36,0,NULL,NULL,<0.003*,2020-03-30
36,0,NULL,NULL,<0.003*,2020-09-02
36,0,NULL,NULL,<0.001015*,2021-05-11
36,0,NULL,NULL,<0.00102*,2021-10-26
36,0,NULL,NULL,<0.00102*,2022-05-24
37,0,NULL,NULL,<0.003*,2019-01-09
37,0,NULL,NULL,<0.003*,2019-10-01
37,0,NULL,NULL,<0.003*,2020-03-30
37,0,NULL,NULL,<0.003*,2020-09-02
37,0,NULL,NULL,<0.001015*,2021-05-18
37,0,NULL,NULL,<0.00102*,2021-10-26
37,0,NULL,NULL,<0.00102*,2022-05-23
38,0,NULL,NULL,<0.003,2016-03-01
38,0,NULL,NULL,<0.003,2016-04-20
38,0,NULL,NULL,<0.003,2016-06-08
38,0,NULL,NULL,<0.003,2016-08-31
38,0,NULL,NULL,<0.003,2016-10-19
38,0,NULL,NULL,0.000738(J),2017-02-01
38,0,NULL,NULL,n/a,2017-03-22
38,0,NULL,NULL,<0.003,2017-05-03
38,0,NULL,NULL,<0.003,2017-06-07
38,0,NULL,NULL,n/a,2017-09-14
38,0,NULL,NULL,<0.003*,2018-01-23
38,0,NULL,NULL,<0.003*,2018-05-02
38,0,NULL,NULL,n/a,2018-08-28
38,0,NULL,NULL,<0.003*,2018-11-28
38,0,NULL,NULL,<0.003*,2019-05-30
38,0,NULL,NULL,<0.003*,2019-09-30
38,0,NULL,NULL,<0.003*,2020-03-31
38,0,NULL,NULL,<0.003*,2020-09-02
38,0,NULL,NULL,<0.001015*,2021-05-18
38,0,NULL,NULL,<0.00102*,2021-10-27
38,0,NULL,NULL,<0.00102*,2022-05-24
39,0,NULL,NULL,n/a,2019-01-08
40,0,NULL,NULL,n/a,2019-01-09
41,0,NULL,NULL,n/a,2019-01-09
42,0,NULL,NULL,<0.003*,2016-02-23
42,0,NULL,NULL,<0.003*,2016-04-19
42,0,NULL,NULL,<0.003*,2016-06-06
42,0,NULL,NULL,<0.003*,2016-08-30
42,0,NULL,NULL,<0.003*,2016-10-18
42,0,NULL,NULL,0.000925(J),2017-01-31
42,0,NULL,NULL,n/a,2017-03-20
42,0,NULL,NULL,<0.003*,2017-05-02
42,0,NULL,NULL,n/a,2017-05-02
42,0,NULL,NULL,<0.003*,2017-06-06
42,0,NULL,NULL,n/a,2017-06-06
42,0,NULL,NULL,n/a,2017-09-13
42,0,NULL,NULL,<0.003*,2018-01-23
42,0,NULL,NULL,<0.003*,2018-05-02
42,0,NULL,NULL,<0.003*,2018-11-27
42,0,NULL,NULL,<0.003*,2019-05-29
42,0,NULL,NULL,<0.003*,2019-10-02
42,0,NULL,NULL,<0.003*,2020-03-31
42,0,NULL,NULL,<0.003*,2020-09-09
42,0,NULL,NULL,<0.001015*,2021-05-12
42,0,NULL,NULL,<0.00102*,2021-10-19
42,0,NULL,NULL,<0.00102*,2022-05-31
43,0,NULL,NULL,<0.003*,2016-02-23
43,0,NULL,NULL,<0.003*,2016-04-19
43,0,NULL,NULL,<0.003*,2016-06-07
43,0,NULL,NULL,<0.003*,2016-08-30
43,0,NULL,NULL,<0.003*,2016-10-18
